TimeCreated,EventId,Computer,TargetAccount,SubjectAccount,IpAddress,LogonType,GroupName,Message
2026-07-14 02:14:00,4624,SRV-APP01,admin.jsmith,,203.0.113.90,10,,An account was successfully logged on.
2026-07-14 08:01:00,4625,WS-HR02,mjones,,10.0.2.9,2,,An account failed to log on.
2026-07-14 08:06:00,4624,WS-ENG05,sgarcia,,10.0.4.21,2,,An account was successfully logged on: sgarcia
2026-07-14 08:09:00,4624,WS-HR02,bpatel,,10.0.7.13,2,,An account was successfully logged on: bpatel
2026-07-14 08:09:00,4624,WS-HR02,kdavis,,10.0.7.13,2,,An account was successfully logged on: kdavis
2026-07-14 08:13:00,4624,WS-FIN01,jsmith,,10.0.4.55,2,,An account was successfully logged on: jsmith
2026-07-14 08:17:00,4624,WS-FIN01,mjones,,10.0.7.13,2,,An account was successfully logged on: mjones
2026-07-14 08:17:00,4624,WS-ENG05,mjones,,10.0.4.21,2,,An account was successfully logged on: mjones
2026-07-14 08:19:00,4624,WS-ENG05,mjones,,10.0.2.9,2,,An account was successfully logged on: mjones
2026-07-14 08:21:00,4625,SRV-APP01,mjones,,10.0.7.13,2,,An account failed to log on.
2026-07-14 08:24:00,4624,WS-ENG05,jsmith,,10.0.2.9,2,,An account was successfully logged on: jsmith
2026-07-14 08:29:00,4624,SRV-APP01,sgarcia,,10.0.4.21,2,,An account was successfully logged on: sgarcia
2026-07-14 08:34:00,4624,WS-FIN01,kdavis,,10.0.4.21,2,,An account was successfully logged on: kdavis
2026-07-14 08:37:00,4624,WS-ENG05,sgarcia,,10.0.4.21,2,,An account was successfully logged on: sgarcia
2026-07-14 08:39:00,4624,WS-ENG05,mjones,,10.0.7.13,2,,An account was successfully logged on: mjones
2026-07-14 08:39:00,4624,WS-ENG05,jsmith,,10.0.7.13,2,,An account was successfully logged on: jsmith
2026-07-14 08:45:00,4624,SRV-APP01,mjones,,10.0.4.55,2,,An account was successfully logged on: mjones
2026-07-14 08:47:00,4624,SRV-APP01,twilson,,10.0.4.55,2,,An account was successfully logged on: twilson
2026-07-14 09:01:00,4624,WS-ENG05,mjones,,10.0.4.55,2,,An account was successfully logged on: mjones
2026-07-14 09:05:00,4625,WS-ENG05,administrator,,203.0.113.77,3,,An account failed to log on.
2026-07-14 09:05:25,4625,SRV-APP01,administrator,,203.0.113.77,3,,An account failed to log on.
2026-07-14 09:05:50,4625,WS-FIN01,administrator,,203.0.113.77,3,,An account failed to log on.
2026-07-14 09:06:15,4625,SRV-APP01,administrator,,203.0.113.77,3,,An account failed to log on.
2026-07-14 09:06:40,4625,WS-FIN01,administrator,,203.0.113.77,3,,An account failed to log on.
2026-07-14 09:07:05,4625,WS-FIN01,administrator,,203.0.113.77,3,,An account failed to log on.
2026-07-14 09:07:30,4625,WS-ENG05,administrator,,203.0.113.77,3,,An account failed to log on.
2026-07-14 09:07:55,4625,SRV-APP01,administrator,,203.0.113.77,3,,An account failed to log on.
2026-07-14 09:08:20,4625,WS-HR02,administrator,,203.0.113.77,3,,An account failed to log on.
2026-07-14 09:08:45,4625,WS-ENG05,administrator,,203.0.113.77,3,,An account failed to log on.
2026-07-14 09:09:10,4625,WS-FIN01,administrator,,203.0.113.77,3,,An account failed to log on.
2026-07-14 09:09:35,4625,WS-FIN01,administrator,,203.0.113.77,3,,An account failed to log on.
2026-07-14 09:10:00,4624,WS-ENG05,twilson,,10.0.7.13,2,,An account was successfully logged on: twilson
2026-07-14 09:10:00,4625,WS-FIN01,administrator,,203.0.113.77,3,,An account failed to log on.
2026-07-14 09:10:25,4625,WS-ENG05,administrator,,203.0.113.77,3,,An account failed to log on.
2026-07-14 09:11:00,4624,WS-FIN01,twilson,,10.0.2.9,2,,An account was successfully logged on: twilson
2026-07-14 09:12:00,4740,WS-ENG05,administrator,SYSTEM,,,,A user account was locked out.
2026-07-14 09:13:00,4624,WS-HR02,achen,,10.0.4.55,2,,An account was successfully logged on: achen
2026-07-14 09:18:00,4624,WS-HR02,achen,,10.0.4.55,2,,An account was successfully logged on: achen
2026-07-14 09:29:00,4624,WS-ENG05,kdavis,,10.0.4.55,2,,An account was successfully logged on: kdavis
2026-07-14 09:30:00,4624,WS-HR02,sgarcia,,10.0.4.21,2,,An account was successfully logged on: sgarcia
2026-07-14 09:34:00,4624,WS-FIN01,kdavis,,10.0.2.9,2,,An account was successfully logged on: kdavis
2026-07-14 09:53:00,4624,WS-ENG05,mjones,,10.0.4.55,2,,An account was successfully logged on: mjones
2026-07-14 09:53:00,4625,WS-HR02,sgarcia,,10.0.2.9,2,,An account failed to log on.
2026-07-14 09:58:00,4625,SRV-APP01,rlopez,,10.0.7.13,2,,An account failed to log on.
2026-07-14 10:18:00,4624,SRV-APP01,twilson,,10.0.4.21,2,,An account was successfully logged on: twilson
2026-07-14 10:21:00,4624,WS-ENG05,rlopez,,10.0.2.9,2,,An account was successfully logged on: rlopez
2026-07-14 10:25:00,4624,SRV-APP01,achen,,10.0.4.21,2,,An account was successfully logged on: achen
2026-07-14 10:30:00,4625,WS-ENG05,jsmith,,198.51.100.32,3,,An account failed to log on.
2026-07-14 10:30:30,4625,WS-ENG05,mjones,,198.51.100.32,3,,An account failed to log on.
2026-07-14 10:31:00,4624,WS-ENG05,achen,,10.0.4.55,2,,An account was successfully logged on: achen
2026-07-14 10:31:00,4625,SRV-APP01,kdavis,,198.51.100.32,3,,An account failed to log on.
2026-07-14 10:31:30,4625,SRV-APP01,rlopez,,198.51.100.32,3,,An account failed to log on.
2026-07-14 10:32:00,4625,WS-HR02,twilson,,198.51.100.32,3,,An account failed to log on.
2026-07-14 10:32:30,4625,WS-HR02,achen,,198.51.100.32,3,,An account failed to log on.
2026-07-14 10:33:00,4624,WS-ENG05,kdavis,,10.0.4.21,2,,An account was successfully logged on: kdavis
2026-07-14 10:33:00,4625,WS-FIN01,bpatel,,198.51.100.32,3,,An account failed to log on.
2026-07-14 10:33:30,4625,SRV-APP01,sgarcia,,198.51.100.32,3,,An account failed to log on.
2026-07-14 10:34:00,4625,SRV-APP01,administrator,,198.51.100.32,3,,An account failed to log on.
2026-07-14 10:34:30,4625,WS-ENG05,svc-sql,,198.51.100.32,3,,An account failed to log on.
2026-07-14 10:36:00,4624,WS-HR02,bpatel,,198.51.100.32,3,,An account was successfully logged on.
2026-07-14 10:37:00,4624,SRV-APP01,bpatel,,10.0.2.9,2,,An account was successfully logged on: bpatel
2026-07-14 10:39:00,4624,WS-FIN01,achen,,10.0.4.21,2,,An account was successfully logged on: achen
2026-07-14 10:41:00,4624,WS-FIN01,bpatel,,10.0.2.9,2,,An account was successfully logged on: bpatel
2026-07-14 10:41:00,4625,WS-ENG05,bpatel,,10.0.4.55,2,,An account failed to log on.
2026-07-14 10:48:00,4624,WS-FIN01,achen,,10.0.7.13,2,,An account was successfully logged on: achen
2026-07-14 11:00:00,4624,WS-FIN01,rlopez,,10.0.2.9,2,,An account was successfully logged on: rlopez
2026-07-14 11:02:00,4624,WS-FIN01,mjones,,10.0.4.55,2,,An account was successfully logged on: mjones
2026-07-14 11:15:00,4624,SRV-APP01,twilson,,10.0.4.55,2,,An account was successfully logged on: twilson
2026-07-14 11:15:00,4732,WS-ENG05,tconsult,admin.mjones,,,Administrators,A member was added to a security-enabled local group.
2026-07-14 11:20:00,4672,WS-ENG05,svc-backup,,,,,Special privileges assigned to new logon.
2026-07-14 11:33:00,4625,WS-HR02,jsmith,,10.0.4.21,2,,An account failed to log on.
2026-07-14 11:44:00,4624,SRV-APP01,achen,,10.0.4.55,2,,An account was successfully logged on: achen
2026-07-14 11:51:00,4624,SRV-APP01,rlopez,,10.0.4.55,2,,An account was successfully logged on: rlopez
2026-07-14 11:57:00,4624,WS-HR02,sgarcia,,10.0.7.13,2,,An account was successfully logged on: sgarcia
2026-07-14 11:58:00,4624,WS-HR02,bpatel,,10.0.4.21,2,,An account was successfully logged on: bpatel
2026-07-14 12:02:00,1102,SRV-APP01,,admin.mjones,,,,The audit log was cleared.
